Player	Pos	Team	Bye Week	Depth Chart	2025 Projected Fantasy Points	VBD	Week 1	Week 2	Week 3	Week 4	Week 5	Week 6	Week 7	Week 8	Week 9	Week 10	Week 11	Week 12	Week 13	Week 14	Week 15	Week 16	Week 17	Week 18
Terrell Jennings	RB	NE	14		5.56	-174.34	0.32	0.31	0.31	0.44	0.36	0.36	0.35	0.28	0.32	0.29	0.30	0.32	0.37	0.00	0.36	0.28	0.30	0.31
Velus Jones Jr.	RB	NO	11		5.49	-174.41	0.33	0.35	0.31	0.34	0.34	0.34	0.35	0.27	0.30	0.41	0.00	0.30	0.29	0.27	0.41	0.28	0.32	0.30
Scott Matlock	RB	LAC	12		4.27	-175.63	0.20	0.25	0.25	0.29	0.28	0.24	0.27	0.22	0.27	0.25	0.30	0.00	0.25	0.19	0.20	0.26	0.20	0.25
Erik Ezukanma	WR	MIA	12	WR7	27.68	-175.81	1.66	1.62	1.63	1.50	1.71	1.66	1.75	1.83	1.76	1.63	1.60	0.00	1.77	1.50	1.59	1.53	1.82	1.62
Dylan Laube	RB	LV	8	RB4	3.60	-176.30	0.26	0.20	0.25	0.27	0.25	0.25	0.18	0.00	0.28	0.23	0.24	0.20	0.20	0.23	0.18	0.18	0.26	0.18
Xavier Restrepo	WR	TEN	10		26.70	-176.79	1.77	1.72	1.86	1.81	1.80	1.75	1.81	1.86	1.86	0.00	1.81	1.87	2.01	1.95	1.71	1.85	1.98	2.01
Savion Williams	WR	GB	5	WR6	26.62	-176.87	2.59	2.22	2.43	2.47	0.00	2.13	2.24	2.21	2.38	2.13	2.28	2.66	2.59	2.00	2.20	2.00	2.44	2.66
Avery Williams	RB	PHI	9		2.86	-177.04	0.23	0.17	0.22	0.20	0.22	0.25	0.20	0.25	0.00	0.22	0.20	0.23	0.26	0.19	0.22	0.24	0.25	0.24
Raheim Sanders	RB	LAC	12		2.80	-177.10	0.09	0.11	0.11	0.13	0.13	0.11	0.12	0.10	0.12	0.11	0.14	0.00	0.11	0.09	0.09	0.12	0.09	0.11
Carlos Washington Jr.	RB	ATL	5		2.35	-177.55	0.11	0.11	0.18	0.14	0.00	0.15	0.15	0.13	0.14	0.14	0.18	0.14	0.12	0.13	0.11	0.14	0.13	0.14
Trayveon Williams	RB	CLE	9		2.21	-177.69	0.13	0.11	0.13	0.12	0.12	0.13	0.13	0.15	0.00	0.12	0.11	0.13	0.15	0.14	0.15	0.15	0.13	0.13
Keilan Robinson	RB	PHI	9		1.90	-178.00	0.16	0.12	0.15	0.13	0.15	0.17	0.13	0.17	0.00	0.15	0.13	0.16	0.17	0.13	0.15	0.16	0.17	0.16
Tyler Badie	RB	DEN	12	RB5	1.90	-178.00	0.12	0.13	0.10	0.12	0.09	0.11	0.13	0.12	0.09	0.11	0.09	0.00	0.13	0.11	0.12	0.14	0.09	0.10
Phil Mafah	RB	DAL	10	RB5	1.90	-178.00	0.09	0.13	0.13	0.11	0.10	0.15	0.12	0.11	0.12	0.00	0.11	0.09	0.09	0.10	0.10	0.10	0.12	0.13
George Holani	RB	SEA	8	RB4	1.70	-178.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Xavier Hutchinson	WR	HOU	6	WR7	24.94	-178.55	3.61	4.29	4.23	3.47	4.13	0.00	3.93	3.59	3.72	4.23	3.47	3.85	3.90	3.89	3.79	3.67	3.90	3.90
Sione Vaki	RB	DET	8	RB4	1.30	-178.60	0.23	0.26	0.20	0.20	0.23	0.18	0.20	0.00	0.20	0.25	0.17	0.26	0.23	0.24	0.22	0.22	0.20	0.26
JaMycal Hasty	RB	NE	14		1.25	-178.65	0.82	0.80	0.81	1.12	0.93	0.91	0.89	0.73	0.81	0.73	0.76	0.83	0.94	0.00	0.93	0.72	0.76	0.80
D'Ernest Johnson	RB	BAL	7		1.00	-178.90	0.12	0.09	0.09	0.08	0.08	0.10	0.00	0.12	0.10	0.09	0.09	0.10	0.10	0.10	0.10	0.12	0.10	0.10
Xavier Gipson	WR	NYJ	9	WR6	24.29	-179.20	1.30	1.34	1.49	1.23	1.46	1.30	1.40	1.25	0.00	1.43	1.33	1.44	1.50	1.23	1.47	1.45	1.33	1.34
Chris Blair	WR	ATL	5		24.22	-179.27	0.50	0.52	0.46	0.43	0.00	0.44	0.41	0.41	0.44	0.45	0.46	0.48	0.41	0.45	0.50	0.44	0.42	0.48
DeAndre Carter	WR	CLE	9	WR6	23.64	-179.85	1.33	1.52	1.29	1.61	1.66	1.38	1.30	1.40	0.00	1.30	1.52	1.35	1.32	1.28	1.25	1.42	1.38	1.33
Alexander Mattison	RB	MIA	12	INJ	0.00	-179.90	2.62	2.69	2.72	2.22	3.27	2.08	2.13	2.37	2.10	2.72	2.65	0.00	2.66	2.22	2.36	2.43	2.14	2.69
Ameer Abdullah	RB	SF	14		0.00	-179.90	1.76	1.91	1.92	2.09	1.71	1.54	1.70	1.38	1.97	1.71	1.92	2.35	1.53	0.00	1.86	1.88	2.00	1.76
Patrick Taylor Jr.	RB	SF	14	RB4	0.00	-179.90	1.14	1.24	1.24	1.35	1.11	1.00	1.10	0.89	1.27	1.11	1.24	1.52	0.99	0.00	1.20	1.22	1.29	1.14
Montrell Johnson Jr.	RB	PHI	9		0.00	-179.90	1.15	0.86	1.09	0.98	1.08	1.25	0.98	1.25	0.00	1.11	0.99	1.15	1.27	0.95	1.09	1.21	1.24	1.21
Kenny McIntosh	RB	SEA	8		0.00	-179.90	0.85	0.71	0.81	0.81	0.65	0.88	0.58	0.00	0.80	0.81	0.72	0.78	0.65	0.72	0.79	0.72	0.99	0.85
J.J. Taylor	RB	HOU	6		0.00	-179.90	0.46	0.42	0.57	0.50	0.41	0.00	0.47	0.54	0.46	0.57	0.50	0.53	0.51	0.37	0.52	0.46	0.40	0.51
Lan Larison	RB	NE	14		0.00	-179.90	0.23	0.23	0.23	0.32	0.26	0.26	0.25	0.21	0.23	0.21	0.22	0.24	0.27	0.00	0.26	0.20	0.22	0.23
Marcus Yarns	RB	NO	11		0.00	-179.90	0.23	0.24	0.21	0.23	0.24	0.23	0.24	0.19	0.21	0.28	0.00	0.20	0.20	0.19	0.28	0.19	0.22	0.20
Donovan Edwards	RB	NYJ	9		0.00	-179.90	0.10	0.12	0.10	0.10	0.11	0.11	0.15	0.11	0.00	0.09	0.12	0.09	0.11	0.10	0.13	0.12	0.12	0.12
Corey Kiner	RB	SF	14		0.00	-179.90	0.11	0.12	0.12	0.13	0.10	0.09	0.10	0.08	0.12	0.10	0.12	0.14	0.09	0.00	0.11	0.12	0.12	0.11
Nyheim Miller-Hines	RB	LAC	12		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Andrew Beck	RB	NYJ	9		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Jakob Johnson	RB	HOU	6		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Salvon Ahmed	RB	IND	11		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Reggie Gilliam	RB	BUF	7		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Jonathan Ward	RB	NYG	14		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Jermar Jefferson	RB	TEN	10		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Demetric Felton Jr.	RB	WAS	12		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Jaret Patterson	RB	LAC	12		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Keaontay Ingram	RB	KC	10		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Evan Hull	RB	PIT	5		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Lew Nichols III	RB	PIT	5		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Ben VanSumeren	RB	PHI	9		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Brady Russell	RB	SEA	8		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Owen Wright	RB	TB	9		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Jonathon Brooks	RB	CAR	14		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Jawhar Jordan	RB	HOU	6		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Dante Miller	RB	NYG	14	RB5	0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Blake Watson	RB	DEN	12		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Jacob Saylors	RB	DET	8		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
British Brooks	RB	HOU	6		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Cody Schrader	RB	LAR	8		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Kendall Milton	RB	CIN	10		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Chris Collier	RB	LV	8		0.00	-179.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Sterling Shepard	WR	TB	9	WR5	23.07	-180.42	1.79	1.58	1.46	1.50	1.63	1.49	1.82	1.73	0.00	1.58	1.60	1.50	1.57	1.73	1.79	1.67	1.47	1.67
