Player	Team	TGT	TGT %	REC	RecYDS	Y/R	20+Rec	RecTD	RushATT	RushYDS	RushTD	FL	G
Trent Sherfield Sr.	MIN	10	2	8	83	10.4	0	1	0	0	0	0	15
Rakim Jarrett	TB	11	2	9	124	13.8	2	0	0	0	0	0	10
Ashton Dulin	IND	8	1.6	2	67	33.5	1	1	5	45	0	0	15
Devin Duvernay	JAC	16	3.2	11	79	7.2	1	0	4	3	0	0	13
K.J. Osborn	WAS	18	3.6	7	57	8.1	1	1	0	0	0	0	7
Ryan Flournoy	DAL	14	2.3	10	102	10.2	1	0	0	0	0	1	11
Hollywood Brown	KC	15	2.6	9	91	10.1	1	0	0	0	0	0	2
Ainias Smith	PHI	9	2.1	7	41	5.9	0	1	2	6	0	0	7
Simi Fehoko	LAC	16	3.2	6	106	17.7	2	0	0	0	0	0	6
Zay Jones	ARI	11	2.2	8	84	10.5	1	0	0	0	0	0	11
Bryce Oliver	TEN	9	1.8	6	95	15.8	1	0	0	0	0	0	10
Parris Campbell	PHI	8	1.9	6	30	5	0	1	0	0	0	0	4
Johnny Wilson	PHI	15	3.4	5	38	7.6	0	1	0	0	0	0	16
Jalen Reagor	LAC	12	2.4	7	100	14.3	2	0	3	-3	0	1	8
Jermaine Burton	CIN	14	2.2	4	107	26.8	2	0	0	0	0	0	14
Odell Beckham Jr.	MIA	18	3.3	9	55	6.1	0	0	0	0	0	0	8
Xavier Gipson	NYJ	10	1.8	6	39	6.5	0	1	1	5	0	1	17
DeAndre Carter	CHI	14	2.7	9	72	8	0	0	0	0	0	1	13
Jalin Hyatt	NYG	19	3.6	8	62	7.8	0	0	0	0	0	0	16
Brandon Powell	MIN	10	2	7	71	10.1	0	0	0	0	0	0	17
Tyrell Shavers	BUF	1	0.2	1	69	69	1	1	0	0	0	0	3
Chris Conley	SF	12	2.4	6	76	12.7	2	0	0	0	0	0	9
River Cracraft	MIA	9	1.6	7	66	9.4	0	0	0	0	0	0	5
Michael Woods II	CLE	17	2.8	7	65	9.3	0	0	0	0	0	0	5
DJ Chark Jr.	LAC	10	2	4	31	7.8	0	1	0	0	0	0	4
Scotty Miller	PIT	9	1.9	5	69	13.8	2	0	0	0	0	0	13
Ben Skowronek	PIT	5	1	5	69	13.8	1	0	0	0	0	0	10
Tay Martin	TEN	2	0.4	1	49	49	1	1	0	0	0	0	1
Laviska Shenault Jr.	SEA	5	1	5	36	7.2	0	0	1	1	0	2	10
Jacob Cowing	SF	6	1.2	4	80	20	1	0	1	7	0	1	15
Britain Covey	PHI	8	1.8	7	34	4.9	0	0	0	0	0	0	5
Kristian Wilkerson	LV	3	0.5	2	18	9	0	1	0	0	0	0	1
Devontez Walker	BAL	3	0.6	1	21	21	1	1	0	0	0	0	7
Tyquan Thornton	NE	8	1.6	4	47	11.8	0	0	0	0	0	0	4
Treylon Burks	TEN	8	1.6	4	34	8.5	0	0	2	1	0	0	5
Dee Eskridge	MIA	3	0.6	3	44	14.7	1	0	0	0	0	0	6
Terrace Marshall Jr.	LV	6	1.1	3	41	13.7	1	0	0	0	0	0	5
Tim Jones	JAC	5	1	3	41	13.7	1	0	0	0	0	0	8
Nikko Remigio	KC	6	1.1	2	48	24	2	0	0	0	0	0	5
Dan Chisena	CAR	4	0.8	3	37	12.3	1	0	0	0	0	0	6
Deven Thompkins	CAR	4	0.8	4	20	5	0	0	2	7	0	0	5
Cody White	SEA	3	0.5	2	44	22	1	0	0	0	0	0	4
Xavier Smith	LAR	2	0.4	2	6	3	0	0	4	36	0	0	15
Alex Bachman	LV	3	0.5	3	31	10.3	0	0	0	0	0	0	5
Allen Robinson II	DET	7	1.4	3	30	10	1	0	0	0	0	0	6
Ihmir Smith-Marsette	NYG	0	0	0	0	0	0	0	0	0	0	0	15
David Bell	CLE	3	0.5	3	27	9	0	0	0	0	0	0	1
Charlie Jones	CIN	1	0.2	1	5	5	0	0	0	0	0	1	8
Malachi Corley	NYJ	6	1	3	16	5.3	0	0	2	26	0	1	7
Jamari Thrash	CLE	7	1.3	3	22	7.3	0	0	0	0	0	0	9
Trenton Irwin	CIN	10	1.7	3	15	5	0	0	0	0	0	0	6
Ronnie Bell	SF	6	1.2	2	22	11	0	0	0	0	0	0	4
Austin Trammell	JAC	3	0.6	2	40	20	1	0	0	0	0	1	1
Mason Kinsey	TEN	2	0.4	2	17	8.5	0	0	0	0	0	0	6
Anthony Gould	IND	1	0.2	1	23	23	1	0	0	0	0	0	8
Isaiah Hodgins	NYG	2	0.4	2	12	6	0	0	0	0	0	0	2
James Proche II	CLE	3	0.5	3	21	7	0	0	0	0	0	1	9
