Player	Team	Games	Boom	Top 6	Top 12	Bust	Other
Will Mallory	IND	10	0%	0%	0%	100%	0%
Cam Grandy	CIN	7	0%	0%	0%	100%	0%
Peyton Hendershot	KC	6	0%	0%	0%	100%	0%
Tanner Conner	MIA	7	0%	0%	0%	100%	0%
Josiah Deguara	JAC	12	0%	0%	0%	100%	0%
Ian Thomas	CAR	5	0%	0%	0%	100%	0%
Shane Zylstra	DET	11	0%	0%	0%	100%	0%
Jack Stoll	MIA	9	0%	0%	0%	100%	0%
Eric Tomlinson	LAC	9	0%	0%	0%	100%	0%
Brevin Jordan	HOU	2	0%	0%	0%	100%	0%
Dallin Holker	NO	11	0%	0%	0%	100%	0%
John Samuel Shenker	LV	7	0%	0%	0%	100%	0%
Geoff Swaim	CLE	8	0%	0%	0%	100%	0%
Jared Wiley	KC	7	0%	0%	0%	100%	0%
David Martin-Robinson	TEN	4	0%	0%	0%	100%	0%
Ross Dwelley	ATL	13	0%	0%	0%	100%	0%
Jody Fortson Jr.	KC	3	0%	0%	0%	100%	0%
Zach Davidson	BUF	3	0%	0%	0%	100%	0%
Marcedes Lewis	CHI	16	0%	0%	0%	100%	0%
John FitzPatrick	GB	8	0%	0%	0%	100%	0%
Jaheim Bell	NE	12	0%	0%	0%	100%	0%
Parker Hesse	DET	7	0%	0%	0%	100%	0%
Brenden Bates	CLE	5	0%	0%	0%	100%	0%
Teagan Quitoriano	HOU	7	0%	0%	0%	100%	0%
Leroy Watson	MIN	4	0%	0%	0%	100%	0%
Rodney Williams	PIT	3	0%	0%	0%	100%	0%
Anthony Firkser	KC	6	0%	0%	0%	100%	0%
Robert Tonyan	KC	5	0%	0%	0%	100%	0%
Mitchell Wilcox	NE	1	0%	0%	0%	100%	0%
C.J. Uzomah	PHI	7	0%	0%	0%	100%	0%
Tyler Mabry	SEA	2	0%	0%	0%	100%	0%
Nick Muse	MIN	4	0%	0%	0%	100%	0%
E.J. Jenkins	PHI	7	0%	0%	0%	100%	0%
Jordan Matthews	CAR	3	0%	0%	0%	100%	0%
Brady Russell	SEA	11	0%	0%	0%	100%	0%
Ko Kieft	TB	16	0%	0%	0%	100%	0%
Jake Tonges	SF	10	0%	0%	0%	100%	0%
Colson Yankoff	WAS	4	0%	0%	0%	100%	0%
Brayden Willis	SF	8	0%	0%	0%	100%	0%
James Winchester	KC	2	0%	0%	0%	100%	0%
Travis Vokolek	ARI	1	0%	0%	0%	100%	0%
Andrew Beck	HOU	4	0%	0%	0%	100%	0%
James Mitchell	DET	1	0%	0%	0%	100%	0%
Princeton Fant	DAL	5	0%	0%	0%	100%	0%
Jack Westover	NE	1	0%	0%	0%	100%	0%
Irv Smith Jr.	HOU	4	0%	0%	0%	100%	0%
Stephen Sullivan	CAR	1	0%	0%	0%	100%	0%
Baylor Cupp	KC	1	0%	0%	0%	100%	0%
Zack Kuntz	NYJ	1	0%	0%	0%	100%	0%
Thomas Odukoya	TEN	1	0%	0%	0%	100%	0%
Tanner McLachlan	CIN	2	0%	0%	0%	100%	0%
