Player	Team	Games	Boom	Top 12	Top 24	Top 36	Top 48	Bust	Other
Greg Dortch	ARI	16	0%	0%	0%	0%	13%	75%	13%
Brandin Cooks	DAL	9	0%	0%	0%	11%	33%	44%	22%
Rashee Rice	KC	4	25%	25%	75%	75%	75%	25%	0%
Troy Franklin	DEN	15	0%	0%	0%	7%	20%	80%	0%
Brandon Aiyuk	SF	7	0%	14%	14%	14%	29%	57%	14%
Dyami Brown	WAS	15	0%	0%	0%	7%	7%	80%	13%
Kendrick Bourne	NE	11	0%	0%	9%	9%	9%	64%	27%
Justin Watson	KC	16	0%	0%	0%	6%	6%	81%	13%
Lil'Jordan Humphrey	DEN	16	0%	0%	6%	6%	19%	81%	0%
Van Jefferson	PIT	16	0%	0%	0%	0%	13%	81%	6%
Kalif Raymond	DET	11	0%	0%	9%	27%	27%	73%	0%
Gabe Davis	JAC	10	0%	10%	10%	10%	20%	70%	10%
Adonai Mitchell	IND	16	0%	0%	0%	6%	13%	88%	0%
Mike Williams	PIT	17	0%	0%	0%	0%	12%	88%	0%
JuJu Smith-Schuster	KC	13	0%	0%	8%	8%	15%	77%	8%
Curtis Samuel	BUF	13	0%	0%	8%	8%	8%	77%	15%
John Metchie	HOU	12	0%	0%	8%	8%	17%	83%	0%
Nelson Agholor	BAL	14	0%	0%	0%	7%	7%	86%	7%
Tyler Johnson	LAR	14	0%	0%	0%	7%	14%	86%	0%
DJ Turner	LV	13	0%	0%	0%	8%	8%	85%	8%
Malik Washington	MIA	13	0%	0%	0%	0%	15%	85%	0%
Cedrick Wilson Jr.	NO	14	0%	0%	7%	7%	7%	93%	0%
Jordan Whittington	LAR	14	0%	0%	7%	14%	14%	86%	0%
Derius Davis	LAC	14	0%	0%	0%	0%	14%	86%	0%
Ryan Miller	TB	10	0%	0%	0%	0%	10%	90%	0%
Tylan Wallace	BAL	16	0%	6%	6%	6%	6%	94%	0%
Josh Reynolds	JAC	8	0%	0%	0%	13%	25%	63%	13%
Jalen Brooks	DAL	13	0%	0%	0%	0%	8%	92%	0%
Trey Palmer	TB	14	0%	0%	0%	7%	7%	93%	0%
Luke McCaffrey	WAS	16	0%	0%	0%	0%	0%	94%	6%
Robert Woods	HOU	14	0%	0%	0%	0%	0%	100%	0%
Mecole Hardman Jr.	KC	12	0%	0%	0%	8%	8%	83%	8%
Ja'Lynn Polk	NE	15	0%	0%	0%	0%	7%	87%	7%
KhaDarel Hodge	ATL	15	0%	0%	0%	7%	7%	93%	0%
Jamison Crowder	WAS	5	0%	0%	20%	20%	20%	80%	0%
Jonathan Mingo	DAL	16	0%	0%	0%	0%	0%	100%	0%
Bub Means	NO	7	0%	0%	14%	14%	14%	86%	0%
Jahan Dotson	PHI	16	0%	0%	0%	0%	0%	100%	0%
Kevin Austin Jr.	NO	7	0%	0%	0%	0%	0%	100%	0%
Mason Tipton	NO	11	0%	0%	0%	0%	9%	91%	0%
Malik Heath	GB	11	0%	0%	0%	0%	9%	82%	9%
Dante Pettis	NO	7	0%	0%	0%	0%	0%	100%	0%
Bo Melton	GB	16	0%	0%	0%	0%	0%	100%	0%
Trent Sherfield Sr.	MIN	16	0%	0%	0%	0%	0%	94%	6%
Jake Bobo	SEA	16	0%	0%	0%	0%	0%	100%	0%
Xavier Hutchinson	HOU	15	0%	0%	0%	0%	0%	100%	0%
Rakim Jarrett	TB	9	0%	0%	0%	0%	11%	89%	0%
Ashton Dulin	IND	14	0%	0%	0%	7%	7%	93%	0%
Devin Duvernay	JAC	12	0%	0%	0%	0%	0%	92%	8%
K.J. Osborn	WAS	8	0%	0%	0%	0%	13%	88%	0%
Hollywood Brown	KC	2	0%	0%	0%	0%	100%	0%	0%
Simi Fehoko	LAC	8	0%	0%	0%	0%	0%	88%	13%
Parris Campbell	PHI	5	0%	0%	0%	20%	20%	80%	0%
Ryan Flournoy	DAL	10	0%	0%	0%	0%	0%	100%	0%
Jermaine Burton	CIN	14	0%	0%	0%	0%	0%	100%	0%
Jalen Reagor	LAC	8	0%	0%	0%	0%	0%	100%	0%
Odell Beckham Jr.	MIA	9	0%	0%	0%	0%	0%	100%	0%
Jalin Hyatt	NYG	15	0%	0%	0%	0%	0%	93%	7%
DeAndre Carter	CHI	13	0%	0%	0%	0%	0%	100%	0%
Brandon Powell	MIN	16	0%	0%	0%	0%	0%	100%	0%
Xavier Gipson	NYJ	16	0%	0%	0%	0%	0%	100%	0%
Tyrell Shavers	BUF	3	0%	0%	0%	33%	33%	67%	0%
Michael Woods	CLE	5	0%	0%	0%	0%	0%	80%	20%
Bryce Oliver	TEN	9	0%	0%	0%	0%	0%	100%	0%
Scotty Miller	PIT	13	0%	0%	0%	0%	0%	100%	0%
Ben Skowronek	PIT	9	0%	0%	0%	0%	0%	100%	0%
Laviska Shenault Jr.	LAC	12	0%	0%	0%	0%	0%	100%	0%
Britain Covey	PHI	5	0%	0%	0%	0%	0%	80%	20%
Kristian Wilkerson	LV	2	0%	0%	0%	0%	50%	50%	0%
Johnny Wilson	PHI	15	0%	0%	0%	0%	0%	93%	7%
Devontez Walker	BAL	6	0%	0%	0%	0%	17%	83%	0%
Tyquan Thornton	KC	6	0%	0%	0%	0%	0%	100%	0%
Zay Jones	ARI	10	0%	0%	0%	0%	0%	100%	0%
Treylon Burks	TEN	5	0%	0%	0%	0%	0%	100%	0%
Dee Eskridge	MIA	6	0%	0%	0%	0%	0%	100%	0%
Tim Jones	JAC	15	0%	0%	0%	0%	0%	100%	0%
Terrace Marshall Jr.	LV	6	0%	0%	0%	0%	0%	100%	0%
Deven Thompkins	CAR	7	0%	0%	0%	0%	0%	100%	0%
Dan Chisena	CAR	5	0%	0%	0%	0%	0%	100%	0%
Cody White	SEA	4	0%	0%	0%	0%	0%	100%	0%
Alex Bachman	LV	5	0%	0%	0%	0%	0%	100%	0%
Allen Robinson	DET	12	0%	0%	0%	0%	0%	100%	0%
Ihmir Smith-Marsette	NYG	14	0%	0%	0%	0%	0%	100%	0%
River Cracraft	MIA	7	0%	0%	0%	0%	0%	100%	0%
David Bell	CLE	1	0%	0%	0%	0%	0%	100%	0%
Xavier Smith	LAR	14	0%	0%	0%	0%	0%	100%	0%
DJ Chark Jr.	LAC	6	0%	0%	0%	0%	0%	100%	0%
Charlie Jones	CIN	8	0%	0%	0%	0%	0%	100%	0%
Malachi Corley	NYJ	7	0%	0%	0%	0%	0%	100%	0%
Jamari Thrash	CLE	8	0%	0%	0%	0%	0%	100%	0%
Jacob Cowing	SF	14	0%	0%	0%	0%	0%	100%	0%
Trenton Irwin	CAR	7	0%	0%	0%	0%	0%	100%	0%
Ronnie Bell	SF	8	0%	0%	0%	0%	0%	100%	0%
Austin Trammell	JAC	1	0%	0%	0%	0%	0%	100%	0%
Ainias Smith	PHI	6	0%	0%	0%	0%	0%	100%	0%
Mason Kinsey	TEN	5	0%	0%	0%	0%	0%	100%	0%
Chris Conley	SF	14	0%	0%	0%	0%	0%	100%	0%
Anthony Gould	IND	7	0%	0%	0%	0%	0%	100%	0%
Isaiah Hodgins	NYG	3	0%	0%	0%	0%	0%	100%	0%
Grant DuBose	MIA	3	0%	0%	0%	0%	0%	100%	0%
James Proche	CLE	8	0%	0%	0%	0%	0%	100%	0%
Chris Blair	ATL	2	0%	0%	0%	0%	0%	100%	0%
Isaiah Williams	CIN	7	0%	0%	0%	0%	0%	100%	0%
Anthony Miller	BAL	2	0%	0%	0%	0%	0%	100%	0%
Casey Washington	ATL	2	0%	0%	0%	0%	0%	100%	0%
Brandon Johnson	PIT	3	0%	0%	0%	0%	0%	100%	0%
Kendric Pryor	CIN	1	0%	0%	0%	0%	0%	100%	0%
Ramel Keyton	LV	7	0%	0%	0%	0%	0%	100%	0%
Collin Johnson	CHI	8	0%	0%	0%	0%	0%	100%	0%
Jaelon Darden	SEA	10	0%	0%	0%	0%	0%	100%	0%
John Ross	PHI	1	0%	0%	0%	0%	0%	100%	0%
Robbie Chosen	MIA	2	0%	0%	0%	0%	0%	100%	0%
Tyler Scott	CHI	10	0%	0%	0%	0%	0%	100%	0%
Kameron Johnson	TB	5	0%	0%	0%	0%	0%	100%	0%
Velus Jones Jr.	CAR	2	0%	0%	0%	0%	0%	100%	0%
Brycen Tremayne	WAS	2	0%	0%	0%	0%	0%	100%	0%
Chris Moore	WAS	5	0%	0%	0%	0%	0%	100%	0%
Zach Pascal	ARI	13	0%	0%	0%	0%	0%	100%	0%
Elijah Cooks	JAC	3	0%	0%	0%	0%	0%	100%	0%
Trishton Jackson	MIN	2	0%	0%	0%	0%	0%	100%	0%
Marquez Callaway	TB	2	0%	0%	0%	0%	0%	100%	0%
#N/A	#N/A	12	0%	0%	0%	0%	0%	100%	0%
Skyy Moore	KC	6	0%	0%	0%	0%	0%	100%	0%
Deonte Harty	BAL	5	0%	0%	0%	0%	0%	100%	0%
Quinton Bell	MIA	15	0%	0%	0%	0%	0%	100%	0%
Braxton Berrios	MIA	8	0%	0%	0%	0%	0%	100%	0%
Dareke Young	SEA	11	0%	0%	0%	0%	0%	100%	0%
Tom Kennedy	DET	4	0%	0%	0%	0%	0%	100%	0%
Jalen Guyton	LV	1	0%	0%	0%	0%	0%	100%	0%
Javon Baker	NE	9	0%	0%	0%	0%	0%	100%	0%
Irv Charles	NYJ	11	0%	0%	0%	0%	0%	100%	0%
Bryce Ford-Wheaton	NYG	6	0%	0%	0%	0%	0%	100%	0%
Erik Ezukanma	MIA	2	0%	0%	0%	0%	0%	100%	0%
Cody Thompson	TB	1	0%	0%	0%	0%	0%	100%	0%
KJ Hamler	BUF	1	0%	0%	0%	0%	0%	100%	0%
Trent Taylor	SF	1	0%	0%	0%	0%	0%	100%	0%
Xavier Weaver	ARI	1	0%	0%	0%	0%	0%	100%	0%
Equanimeous St. Brown	NO	3	0%	0%	0%	0%	0%	100%	0%
Roman Wilson	PIT	1	0%	0%	0%	0%	0%	100%	0%
Justin Shorter	LV	7	0%	0%	0%	0%	0%	100%	0%
Brenden Rice	LAC	1	0%	0%	0%	0%	0%	100%	0%
Jaylen Johnson	LAC	1	0%	0%	0%	0%	0%	100%	0%
Jalen Virgil	BUF	7	0%	0%	0%	0%	0%	100%	0%
Montrell Washington	KC	1	0%	0%	0%	0%	0%	100%	0%
Justin Hardee Sr.	TEN	3	0%	0%	0%	0%	0%	100%	0%
Justyn Ross	KC	2	0%	0%	0%	0%	0%	100%	0%
Jalen Moreno-Cropper	DAL	1	0%	0%	0%	0%	0%	100%	0%
Seth Williams	DAL	2	0%	0%	0%	0%	0%	100%	0%
Kazmeir Allen	WAS	1	0%	0%	0%	0%	0%	100%	0%
Maurice Alexander	DET	2	0%	0%	0%	0%	0%	100%	0%
Jared Wayne	HOU	3	0%	0%	0%	0%	0%	100%	0%
Laquon Treadwell	IND	1	0%	0%	0%	0%	0%	100%	0%
Joshua Cephus	JAC	1	0%	0%	0%	0%	0%	100%	0%
Nikko Remigio	KC	4	0%	0%	0%	0%	0%	100%	0%
Brandon Smith	NYJ	1	0%	0%	0%	0%	0%	100%	0%
Alex Erickson	NE	2	0%	0%	0%	0%	0%	100%	0%
Jermaine Jackson	NO	4	0%	0%	0%	0%	0%	100%	0%
Steven Sims Jr.	BAL	8	0%	0%	0%	0%	0%	100%	0%
Kadarius Toney	CLE	3	0%	0%	0%	0%	0%	100%	0%
Jha'Quan Jackson	TEN	12	0%	0%	0%	0%	0%	100%	0%
Dee Williams	NYG	13	0%	0%	0%	0%	0%	100%	0%
