Player	Team	Games	Boom	Top 6	Top 12	Bust	Other
Nick Vannett	LAR	4	0%	0%	0%	100%	0%
Kenny Yeboah	DET	1	0%	0%	0%	100%	0%
Stephen Carlson	CHI	2	0%	0%	0%	100%	0%
E.J. Jenkins	PHI	2	0%	0%	0%	100%	0%
Thomas Fidone	NYG	2	0%	0%	0%	100%	0%
Hayden Rucci	MIA	4	0%	0%	0%	100%	0%
Marcedes Lewis	DEN	5	0%	0%	0%	100%	0%
Nick Kallerup	SEA	9	0%	0%	0%	100%	0%
Princeton Fant	DAL	1	0%	0%	0%	100%	0%
Nikola Kalinic	CHI	1	0%	0%	0%	100%	0%
Zach Horton	DET	1	0%	0%	0%	100%	0%
Giovanni Ricci	DET	3	0%	0%	0%	100%	0%
Drake Dabney	GB	1	0%	0%	0%	100%	0%
CJ Dippre	NE	1	0%	0%	0%	100%	0%
Zach Davidson	NYG	1	0%	0%	0%	100%	0%
