Player	Team	TGT	TGT %	REC	RecYDS	Y/R	20+Rec	RecTD	RushATT	RushYDS	RushTD	FL	G
Ross Dwelley	DET	5	0.9	2	7	3.5	0	0	0	0	0	0	10
Harrison Bryant	HOU	6	1.2	2	7	3.5	0	0	0	0	0	0	12
Cam Grandy	CIN	2	0.4	2	7	3.5	0	0	0	0	0	0	5
Will Mallory	IND	1	0.2	1	16	16	0	0	0	0	0	0	2
Blake Whiteheart	CLE	6	1.2	2	4	2	0	0	0	0	0	0	16
Pharaoh Brown	ARI	2	0.3	2	1	0.5	0	0	0	0	0	0	7
Payne Durham	TB	4	0.8	1	11	11	0	0	0	0	0	0	17
Chris Manhertz	NYG	2	0.4	1	7	7	0	0	0	0	0	0	17
Jared Wiley	KC	1	0.2	1	4	4	0	0	0	0	0	0	4
Carter Runyon	LV	1	0.2	1	3	3	0	0	0	0	0	0	11
Drake Dabney	GB	2	0.4	1	3	3	0	0	0	0	0	0	2
Robert Tonyan	KC	1	0.2	1	1	1	0	0	0	0	0	0	16
Jack Westover	NE	2	0.4	1	0	0	0	0	0	0	0	0	17
Marcedes Lewis	DEN	0	0	0	0	0	0	0	0	0	0	0	5
James Winchester	KC	0	0	0	0	0	0	0	0	0	0	0	3
Tyler Ott	WAS	0	0	0	0	0	0	0	0	0	0	0	1
Andrew DePaola	MIN	0	0	0	0	0	0	0	0	0	0	0	1
Nick Vannett	LAR	0	0	0	0	0	0	0	0	0	0	0	4
Zach Wood	NO	0	0	0	0	0	0	0	0	0	0	0	2
Stephen Carlson	CHI	0	0	0	0	0	0	0	0	0	0	0	2
Mitchell Fraboni	DEN	0	0	0	0	0	0	0	0	0	0	0	5
Matt Orzech	GB	0	0	0	0	0	0	0	0	0	0	0	3
Lawrence Cager	WAS	0	0	0	0	0	0	0	0	0	0	0	1
Sean McKeon	IND	0	0	0	0	0	0	0	0	0	0	0	1
Giovanni Ricci	DET	1	0.2	0	0	0	0	0	0	0	0	0	3
Feleipe Franks	ATL	0	0	0	0	0	0	0	2	4	0	0	12
Kenny Yeboah	DET	0	0	0	0	0	0	0	0	0	0	0	1
