Rank	Player	Team	Pos	Avg Stars	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11	W12	W13	W14	W15	W16	W17	W18
116	Miles Kitselman	FA	TE	#DIV/0!	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE	BYE
117	Ben Yurosek	MIN	TE	3.24	3	3	5	3	2	BYE	4	3	4	3	2	2	3	3	3	5	4	3
118	Jaheim Bell	PIT	TE	2.88	2	3	4	2	4	5	2	2	BYE	4	2	3	3	2	2	3	4	2
119	Brayden Willis	SF	TE	3.12	2	3	4	3	3	5	2	BYE	4	4	3	3	2	2	4	3	2	4
120	Lucas Krull	DEN	TE	3.24	3	2	2	2	4	3	4	3	3	BYE	4	3	3	4	4	4	3	4
121	Teagan Quitoriano	ARI	TE	2.94	4	3	2	2	3	2	3	4	3	2	3	5	2	BYE	4	2	4	2
122	Blake Whiteheart	CLE	TE	3.12	2	5	3	3	4	2	4	3	2	3	BYE	4	4	2	2	2	4	4
123	Joel Wilson	TEN	TE	3.12	4	2	2	2	3	4	2	4	BYE	2	4	2	5	3	4	4	3	3
124	David Martin-Robinson	TEN	TE	3.12	4	2	2	2	3	4	2	4	BYE	2	4	2	5	3	4	4	3	3
125	Connor Heyward	LV	TE	3.12	3	4	2	3	3	4	2	4	2	3	3	2	BYE	4	3	4	4	3
126	Drew Ogletree	IND	TE	3	2	3	3	5	3	4	3	2	4	3	3	2	BYE	2	4	4	2	2
127	Hunter Long	JAC	TE	3.24	2	3	3	4	2	3	BYE	4	2	4	2	4	3	3	3	4	5	4
128	James Mitchell	CAR	TE	2.88	3	2	2	3	BYE	2	5	3	3	2	2	5	3	2	4	3	3	2
129	Ko Kieft	TB	TE	2.76	4	2	3	3	4	3	3	2	3	BYE	3	3	4	2	2	2	2	2
130	Andrew Beck	NYJ	TE	3.29	4	3	3	3	2	3	3	4	3	4	4	3	BYE	3	4	3	3	4
131	John Michael Gyllenborg	KC	TE	3.35	3	4	3	4	BYE	4	3	3	4	2	4	4	2	4	3	2	4	4
132	Colson Yankoff	WAS	TE	2.88	2	4	3	4	2	2	BYE	2	2	2	4	4	4	3	2	3	2	4
133	Nick Kallerup	SEA	TE	3.06	3	4	5	4	2	3	3	3	4	4	BYE	2	4	2	2	2	3	2
134	Jack Westover	NE	TE	3.29	3	3	2	4	4	4	3	3	3	3	BYE	4	4	3	3	4	3	3
135	Gavin Bartholomew	MIN	TE	3.24	3	3	5	3	2	BYE	4	3	4	3	2	2	3	3	3	5	4	3
136	Tanner Conner	NYG	TE	3.12	4	2	4	4	5	2	3	BYE	2	5	2	4	2	3	2	3	4	2
137	Albert Okwuegbunam Jr.	LV	TE	3.12	3	4	2	3	3	4	2	4	2	3	3	2	BYE	4	3	4	4	3
138	Joshua Simon	ATL	TE	3.12	3	3	3	2	2	3	2	5	4	3	BYE	3	3	2	5	5	2	3
139	Cameron Latu	PHI	TE	3.24	5	4	3	2	2	3	4	5	2	BYE	3	4	4	4	3	3	2	2
140	Carsen Ryan	CLE	TE	3.12	2	5	3	3	4	2	4	3	2	3	BYE	4	4	2	2	2	4	4
141	Nick Vannett	SEA	TE	3.06	3	4	5	4	2	3	3	3	4	4	BYE	2	4	2	2	2	3	2
142	Bryson Nesbit	MIN	TE	3.24	3	3	5	3	2	BYE	4	3	4	3	2	2	3	3	3	5	4	3
143	Cole Turner	MIA	TE	3.41	4	2	3	3	4	BYE	4	3	3	4	4	4	3	3	3	4	4	3
144	Josiah Deguara	SF	TE	3.12	2	3	4	3	3	5	2	BYE	4	4	3	3	2	2	4	3	2	4
