Player	Pos	School	College	Ht	Wt	40yd	Vertical	Bench	Broad Jump	3Cone	Shuttle	DraftTeam	DraftRound	DraftPick	DraftYear
Quintayvious Hutchins	EDGE	Boston Col.	College Stats	6-3	233	4.74	37					New England Patriots	7th	247th pick	2026
Garrett Nussmeier	QB	LSU	College Stats	6-2	203							Kansas City Chiefs	7th	249th pick	2026
Rayshaun Benny	DT	Michigan	College Stats	6-3	298							Baltimore Ravens	7th	250th pick	2026
Deion Burks	WR	Oklahoma	College Stats	5-10	180	4.3	42.5	26	131			Indianapolis Colts	7th	254th pick	2026
Dallen Bentley	TE	Utah	College Stats	6-4	253	4.62	35	24	118		4.42	Denver Broncos	7th	256th pick	2026
Carver Willis	OT	Washington	College Stats	6-5	303	5.11	26.5		108						
Jalen Walthall	WR	Incarnate Word		6-1	191	4.57	35		131						
Reggie Virgil	WR	Texas Tech	College Stats	6-3	187	4.57	36		127						
Keagen Trost	OT	Missouri	College Stats	6-5	311		31								
R Mason Thomas	EDGE	Oklahoma	College Stats	6-2	241	4.67									
Jakobe Thomas	SAF	Miami	College Stats	6-1	211										
J. Michael Sturdivant	WR	Florida	College Stats	6-3	207	4.4	39		131						
DeShon Singleton	SAF	Nebraska	College Stats	6-3	205		39.5		130						
Karson Sharar	LB	Iowa	College Stats	6-2	231	4.56	40		123						
DJ Rogers	TE	TCU	College Stats	6-4	258										
Ar'maj Reed-Adams	G	Texas A&M	College Stats	6-6	314	5.28	29.5		110	7.88					
Kaleb Proctor	DT	Southeastern Louisiana		6-2	291	4.79	33		113		4.71				
Cole Payton	QB	North Dakota St.		6-3	232	4.56	40		130	7.12	4.36				
Brian Parker	C	Duke	College Stats	6-5	309	5.14		29	109	7.66	4.8				
Labbeus Overton	EDGE	Alabama	College Stats	6-3	274	4.87									
Tyler Onyedim	DT	Texas A&M	College Stats	6-4	292		32		111						
Febechi Nwaiwu	G	Oklahoma	College Stats	6-4	319		24.5		105	7.8	4.73				
Khalil Murdock	LB	Buffalo	College Stats	6-2	232										
Louis Moore	SAF	Indiana	College Stats	5-11	191										
Jam Miller	RB	Alabama	College Stats	5-10	209	4.42	30.5		115						
Latrell McCutchin	CB	Houston	College Stats	6-2	191	4.43	38.5		131	7	4.18				
Donaven McCulley	WR	Michigan	College Stats	6-5	203										
Kendrick Law	WR	Kentucky	College Stats	5-11	203	4.45	42	21	128						
Bryce Lance	WR	North Dakota St.		6-3	204	4.34	41.5		133	7	4.15				
Haynes King	QB	Georgia Tech	College Stats	6-2	212	4.46	33.5		116	6.89	4.17				
Will Kacmarek	TE	Ohio St.	College Stats	6-6	261	4.74	36		119						
Lorenzo Styles Jr.	SAF	Ohio St.	College Stats	6-1	194	4.27	39								
Dalton Johnson	SAF	Arizona	College Stats	5-11	192	4.41	36		119						
Bobby Jamison-Travis	DT	Auburn	College Stats	6-3	328										
Olaivavega Ioane	G	Penn St.	College Stats	6-4	320		31.5		104						
Keith Abney II	CB	Arizona St.	College Stats	5-10	187			15							
Chris Brazzell II	WR	Tennessee	College Stats	6-4	198	4.37									
Ted Hurst	WR	Georgia St.	College Stats	6-4	206	4.42	36.5		135						
Jordan Hudson	WR	SMU	College Stats	6-1	191										
Alan Herron	OT	Maryland	College Stats	6-5	308	5.09	32			8.2	5.09				
Emmanuel Henderson	WR	Kansas	College Stats	6-1	185	4.44	35		120						
Ahmari Harvey	CB	Georgia Tech	College Stats	5-11	185			15							
John Michael Gyllenborg	TE	Wyoming	College Stats	6-6	249	4.6	35.5		128		4.22				
David Gusta	DT	Kentucky	College Stats	6-2	308	4.88	32	37							
Matt Gulbin	C	Michigan St.	College Stats	6-4	305										
Andre Fuller	CB	Toledo	College Stats	6-1	200	4.49	35		129		4.28				
Bryson Eason	DT	Tennessee	College Stats	6-2	323	5.09	30.5		112		5				
Khalil Dinkins	TE	Penn St.	College Stats	6-4	251	4.72	32.5	25	119	7.28	4.33				
Charles Demmings	CB	Stephen F. Austin St.		6-1	193	4.41	42		132						
J.C. Davis	OT	Illinois	College Stats	6-4	322	5.16	30.5		99						
Enrique Cruz	OT	Kansas	College Stats	6-6	313	4.94	35		116						
KC Concepcion	WR	Texas A&M	College Stats	6-0	196										
Max Bredeson	FB	Michigan	College Stats	6-2	252										
Joshua Braun	G	Kentucky	College Stats	6-6	325			22	101	7.62					
Malik Benson	WR	Oregon	College Stats	6-0	189	4.37	32.5		122						
Evan Beerntsen	G	Northwestern	College Stats	6-4	301	5.25	32.5		105						
Nick Barrett	DT	South Carolina	College Stats	6-3	312	5.1	31.5		108	8.17	4.91				
CJ Allen	LB	Georgia	College Stats	6-1	230										
Jose Aguilar	QB	Tennessee	College Stats	6-3	229										
Dominic Zvada	K	Michigan	College Stats	6-3	178										
Taurean York	LB	Texas A&M	College Stats	5-11	226			25		7.32	4.48				
Dae'Quan Wright	TE	Mississippi	College Stats	6-4	246										
Collin Wright	CB	Stanford	College Stats	6-0	188		39								
Jeremiah Williams	LB	Texas A&M	College Stats	6-2	231										
Damonic Williams	DT	Oklahoma	College Stats	6-2	305			30							
Noah Whittington	RB	Oregon	College Stats	5-8	205			24							
Harrison Wallace	WR	Mississippi	College Stats	6-0	192	4.54									
Aamil Wagner	OT	Notre Dame	College Stats	6-6	306	5.01	29.5	21	108						
Dillon Wade	G	Auburn	College Stats	6-3	316	5.02	28.5		104						
Nadame Tucker	EDGE	Western Michigan	College Stats	6-2	247	4.73	33.5		119						
Michael Trigg	TE	Baylor	College Stats	6-4	240										
Brett Thorson	P	Georgia	College Stats	6-1	237										
J'Mari Taylor	RB	Virginia	College Stats	5-10	199		34.5	20	115						
Jack Stonehouse	P	Syracuse	College Stats	6-2	211										
Drew Stevens	K	Iowa	College Stats	6-1	213										
Gary Smith	DT	UCLA	College Stats	6-1	319		28								
