PLAYER	POS	TEAM	GAMES	SNAPS	SNAPS/GM	SNAP %	RUSH %	TGT %	TOUCH %	UTIL %
Tyquan Thornton	WR	KC	14	368	26	38	0	10	5	10
Michael Pittman Jr.	WR	IND	17	918	54	86	0	12	9	12
Mike Gesicki	TE	CIN	13	321	25	38	0	13	9	13
Alvin Kamara	RB	NO	11	457	42	63	29	9	36	37
Kyle Pitts Sr.	TE	ATL	17	961	57	88	0	12	9	12
Pat Freiermuth	TE	PIT	17	522	31	51	0	10	8	10
Jauan Jennings	WR	SF	15	795	53	82	0	11	7	11
Jalen McMillan	WR	TB	4	138	35	52	1	11	9	12
Ladd McConkey	WR	LAC	16	838	52	78	0	13	8	13
Dalton Schultz	TE	HOU	17	827	49	71	0	13	10	13
Travis Kelce	TE	KC	17	902	53	81	0	12	9	12
Justin Jefferson	WR	MIN	17	941	55	94	0	15	9	15
Spencer Rattler	QB	NO	9	490	54	81	6	0	59	59
Juwan Johnson	TE	NO	17	850	50	76	0	12	9	12
Romeo Doubs	WR	GB	16	780	49	78	0	11	7	11
Tyler Warren	TE	IND	17	899	53	84	1	12	9	13
Ty Chandler	RB	MIN	2	42	21	35	40	10	48	50
Colby Parkinson	TE	LAR	15	621	41	61	0	9	7	9
Oronde Gadsden II	TE	LAC	15	628	42	62	0	11	8	11
Mark Andrews	TE	BAL	17	631	37	62	2	11	9	13
Malik Washington	WR	MIA	17	563	33	57	3	12	11	15
Sam LaPorta	TE	DET	9	517	57	90	0	9	8	9
Isiah Pacheco	RB	KC	13	424	33	52	28	6	32	34
Hunter Henry	TE	NE	17	869	51	79	0	10	7	10
Jalen Coker	WR	CAR	11	439	40	68	0	10	8	10
Kayshon Boutte	WR	NE	14	607	43	67	0	8	5	8
Tyler Huntley	QB	BAL	5	197	39	63	12	0	46	46
Jakobi Meyers	WR	JAC	16	872	55	85	1	13	9	13
Quinn Ewers	QB	MIA	4	179	45	79	4	1	51	51
Philip Rivers	QB	IND	3	172	57	97	1	0	55	55
Brenton Strange	TE	JAC	12	591	49	75	0	10	8	10
Chimere Dike	WR	TEN	17	631	37	60	2	12	9	13
Kirk Cousins	QB	ATL	10	543	54	86	3	0	52	52
Rome Odunze	WR	CHI	12	733	61	88	0	12	6	12
Noah Fant	TE	CIN	15	379	25	38	0	11	9	11
Travis Hunter	WR	JAC	7	324	46	67	0	14	9	14
Tyler Higbee	TE	LAR	10	366	37	55	0	10	7	10
Dillon Gabriel	QB	CLE	10	372	37	56	4	0	53	53
Chris Godwin Jr.	WR	TB	9	428	48	71	0	12	8	12
Calvin Austin III	WR	PIT	14	446	32	53	0	12	7	12
Jayden Higgins	WR	HOU	17	671	39	58	0	10	6	10
Cam Ward	QB	TEN	17	1,007	59	95	4	0	57	57
Josh Johnson	QB	WAS	5	138	28	48	9	0	48	48
Austin Ekeler	RB	WAS	2	69	35	50	20	10	28	30
Calvin Ridley	WR	TEN	7	250	36	58	0	14	7	14
Jordan Addison	WR	MIN	14	714	51	85	0	11	6	11
Tez Johnson	WR	TB	16	495	31	47	2	9	7	11
Brian Thomas Jr.	WR	JAC	14	741	53	78	0	12	7	13
Kalif Raymond	WR	DET	15	358	24	37	1	8	7	9
Dontayvion Wicks	WR	GB	14	408	29	47	0	11	8	12
Chig Okonkwo	TE	TEN	17	666	39	63	0	12	8	12
Ricky Pearsall	WR	SF	9	480	53	78	0	11	8	11
AJ Barner	TE	SEA	17	827	49	78	1	8	7	9
Keon Coleman	WR	BUF	13	576	44	65	0	10	7	10
Isaiah Williams	WR	NYJ	11	329	30	49	1	11	9	12
Adonai Mitchell	WR	NYJ	16	498	31	50	0	15	7	15
Isaac TeSlaa	WR	DET	17	436	26	40	0	6	4	6
DJ Moore	WR	CHI	17	979	58	85	2	9	7	10
Mack Hollins	WR	NE	15	657	44	68	0	10	7	10
Tre Tucker	WR	LV	17	942	55	95	1	10	7	11
Gunnar Helm	TE	TEN	16	533	33	53	0	10	8	10
Hunter Renfrow	WR	CAR	6	210	35	51	0	12	7	12
Xavier Worthy	WR	KC	14	645	46	70	2	11	8	13
David Njoku	TE	CLE	12	514	43	64	0	9	6	9
Sterling Shepard	WR	TB	13	495	38	57	1	11	9	12
Tanner McKee	QB	PHI	4	89	22	34	9	0	57	57
T.J. Hockenson	TE	MIN	15	691	46	79	0	10	8	10
John Metchie III	WR	NYJ	16	445	28	46	1	11	8	11
Jerome Ford	RB	CLE	13	269	21	31	9	12	19	21
Michael Mayer	TE	LV	13	465	36	60	0	11	8	11
Jonnu Smith	TE	PIT	17	536	32	52	2	10	9	12
Dawson Knox	TE	BUF	17	653	38	58	0	8	6	8
Pat Bryant	WR	DEN	15	475	32	48	0	10	7	10
Matthew Golden	WR	GB	14	452	32	53	2	10	9	12
Kendrick Bourne	WR	SF	16	594	37	57	0	9	6	9
Elijah Moore	WR	BUF	9	186	21	31	3	9	8	12
Jalen Nailor	WR	MIN	17	653	38	65	0	8	5	8
Tim Patrick	WR	JAC	16	336	21	31	0	7	4	7
Cooper Kupp	WR	SEA	16	768	48	76	0	9	6	9
Devaughn Vele	WR	NO	13	437	34	51	0	9	6	9
Mason Rudolph	QB	PIT	5	113	23	38	6	0	52	52
Elic Ayomanor	WR	TEN	16	787	49	80	0	11	5	11
Theo Johnson	TE	NYG	15	872	58	86	0	8	5	8
Tyler Lockett	WR	LV	17	498	29	50	0	11	6	11
Xavier Hutchinson	WR	HOU	17	672	40	58	0	8	6	9
Olamide Zaccheaus	WR	CHI	16	580	36	53	1	11	7	12
Terrance Ferguson	TE	LAR	13	356	27	41	0	7	3	7
Trey Lance	QB	LAC	4	100	25	40	17	0	74	74
Robbie Chosen	WR	WAS	3	72	24	38	0	13	7	13
Jaylin Lane	WR	WAS	15	348	23	37	0	9	5	9
Dyami Brown	WR	JAC	14	356	25	37	2	10	7	12
Curtis Samuel	WR	BUF	6	151	25	40	0	6	5	6
Xavier Legette	WR	CAR	15	642	43	69	0	10	6	10
Demarcus Robinson	WR	SF	14	420	30	46	0	8	5	9
Ja'Tavion Sanders	TE	CAR	13	393	30	49	0	9	7	9
Josh Oliver	TE	MIN	15	400	27	46	0	5	4	5
Mason Taylor	TE	NYJ	13	654	50	81	0	10	7	10
Kevin Austin Jr.	WR	NO	8	242	30	44	0	10	5	10
Darnell Washington	TE	PIT	16	546	34	57	0	8	6	8
Christian Kirk	WR	HOU	13	433	33	49	0	12	6	12
Shane Buechele	QB	KC	1	29	29	45	3	0	52	52
Joshua Palmer	WR	BUF	12	393	33	49	0	9	6	9
Jerry Jeudy	WR	CLE	17	921	54	85	0	12	6	12
Darius Slayton	WR	NYG	14	755	54	81	0	8	5	8
Noah Brown	WR	WAS	4	102	26	40	0	10	5	10
Gabe Davis	WR	BUF	6	238	40	58	0	8	5	8
Tyler Johnson	WR	NYJ	12	292	24	39	0	6	4	6
Hunter Long	TE	JAC	9	258	29	41	0	7	5	7
Isaiah Likely	TE	BAL	14	488	35	57	0	7	6	7
Tre' Harris	WR	LAC	17	555	33	49	0	8	6	8
Jack Bech	WR	LV	15	343	23	39	0	8	6	8
Cade Otton	TE	TB	16	993	62	93	0	8	6	8
Mitchell Evans	TE	CAR	17	393	23	37	0	6	5	7
Elijah Higgins	TE	ARI	17	475	28	42	0	8	6	8
Van Jefferson	WR	TEN	16	583	36	58	0	9	5	9
Brady Cook	QB	NYJ	5	296	59	98	4	0	56	56
JuJu Smith-Schuster	WR	KC	17	620	36	56	0	7	5	7
Cedric Tillman	WR	CLE	13	515	40	63	0	8	4	8
Elijah Arroyo	TE	SEA	13	316	24	39	0	8	5	8
Austin Hooper	TE	NE	16	512	32	50	0	5	4	5
Luke Musgrave	TE	GB	17	428	25	41	0	7	6	7
Jared Wayne	WR	HOU	1	35	35	44	0	6	6	6
Zay Jones	WR	ARI	8	271	34	50	0	7	4	7
Kyle Juszczyk	RB	SF	17	510	30	45	0	5	5	6
Isaiah Bond	WR	CLE	16	494	31	49	1	9	5	10
Will Dissly	TE	LAC	9	189	21	31	0	8	6	8
Jackson Hawes	TE	BUF	17	487	29	43	0	4	3	4
Andy Dalton	QB	CAR	4	97	24	37	5	0	43	43
Daniel Bellinger	TE	NYG	16	555	35	51	0	5	3	5
Davis Allen	TE	LAR	17	585	34	52	0	6	4	6
Andrei Iosivas	WR	CIN	17	851	50	77	0	7	4	7
Darnell Mooney	WR	ATL	15	778	52	82	0	9	4	9
Lil'Jordan Humphrey	WR	DEN	10	329	33	49	0	8	4	8
Tyrell Shavers	WR	BUF	17	441	26	39	0	5	3	5
Cole Kmet	TE	CHI	16	768	48	70	0	6	4	6
Adam Thielen	WR	PIT	16	387	24	39	0	9	5	9
Chris Oladokun	QB	KC	3	109	36	72	5	0	55	55
Rashod Bateman	WR	BAL	13	551	42	69	0	7	3	7
Jalen Tolbert	WR	DAL	13	464	36	51	0	7	4	7
Tommy Tremble	TE	CAR	17	636	37	60	0	6	4	6
Treylon Burks	WR	WAS	8	292	37	60	0	8	3	8
Brandin Cooks	WR	BUF	15	537	36	55	0	7	4	7
Jamari Thrash	WR	CLE	9	216	24	35	0	7	5	7
Jeremy Ruckert	TE	NYJ	17	494	29	47	0	6	5	6
Marquez Valdes-Scantling	WR	PIT	10	339	34	48	0	9	4	9
Aidan O'Connell	QB	LV	1	51	51	82	2	0	45	45
Brock Wright	TE	DET	11	401	36	57	0	5	3	5
Allen Lazard	WR	NYJ	10	250	25	39	0	7	4	7
Chris Moore	WR	WAS	14	429	31	49	0	5	3	6
Charlie Kolar	TE	BAL	17	402	24	40	0	4	2	4
Justin Watson	WR	HOU	3	68	23	38	0	6	4	6
David Sills V	WR	ATL	17	565	33	52	0	6	3	6
Josh Reynolds	WR	NYJ	5	273	55	83	0	8	4	8
Casey Washington	WR	ATL	7	181	26	40	0	8	3	8
Jahan Dotson	WR	PHI	17	599	35	57	0	6	3	6
Nate Adkins	TE	DEN	9	199	22	33	0	6	3	6
Ben Sinnott	TE	WAS	16	341	21	35	0	4	3	4
Josh Whyle	TE	GB	8	176	22	38	0	3	3	3
Jordan Whittington	WR	LAR	16	443	28	42	1	6	5	6
Ian Thomas	TE	LV	15	318	21	35	0	4	4	4
Cade Stover	TE	HOU	9	263	29	44	2	6	6	8
Isaiah Hodgins	WR	NYG	7	363	52	77	0	5	3	5
John FitzPatrick	TE	GB	15	335	22	35	0	4	4	4
